Date,Startup,Vertical,SubVertical,City,Investors,Round,Amount,Year,month_num,month_name,Month_Year,Investor_num
2020-01-09,BYJU’S,E-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,1711.6,2020,1,January,January-2020,1
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,68.87815585199999,2020,1,January,January-2020,1
2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,157.11512388,2020,1,January,January-2020,1
2020-01-02,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-Series A,25.674,2020,1,January,January-2020,1
2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Angel Funding,15.4044,2020,1,January,January-2020,1
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,77.022,2020,1,January,January-2020,1
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1283.7,2020,1,January,January-2020,1
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,51.348,2019,12,December,December-2019,1
2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,599.06,2019,12,December,December-2019,1
2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Angel Funding,427.9,2019,12,December,December-2019,2
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,171.16,2019,12,December,December-2019,2
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,102.696,2019,12,December,December-2019,3
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,256.74,2019,12,December,December-2019,1
2019-12-14,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Angel Funding,17.116,2019,12,December,December-2019,1
2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Angel Funding,427.9,2019,12,December,December-2019,1
2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1976.898,2019,12,December,December-2019,1
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1283.7,2019,11,November,November-2019,3
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.159188,2019,11,November,November-2019,2
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Angel Funding,12.837,2019,11,November,November-2019,3
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture Round,0.0,2019,11,November,November-2019,1
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,102.696,2019,11,November,November-2019,2
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,222.508,2019,11,November,November-2019,1
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,149.00560587,2019,11,November,November-2019,1
2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Angel Funding,11.1254,2019,11,November,November-2019,1
2019-11-20,Clumio,SaaS,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,1155.33,2019,11,November,November-2019,2
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Angel Funding,2.5674,2019,11,November,November-2019,1
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Angel Funding,1882.76,2019,11,November,November-2019,1
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,135.2164,2019,11,November,November-2019,4
2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2421.914,2019,11,November,November-2019,3
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8558.0,2019,11,November,November-2019,1
2019-10-04,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,385.11,2019,10,October,October-2019,1
2019-10-02,Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,5006.43,2019,10,October,October-2019,2
2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,2019,10,October,October-2019,1
2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,38.511,2019,9,September,September-2019,2
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,28.2414,2019,9,September,September-2019,1
2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,51.348,2019,9,September,September-2019,1
2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,42.79,2019,9,September,September-2019,1
2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,154.044,2019,9,September,September-2019,1
2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bangalore,Endiya Partners,Angel Funding,8.558,2019,9,September,September-2019,1
2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,85.58,2019,9,September,September-2019,1
2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3851.1,2019,9,September,September-2019,1
2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,42.79,2019,9,September,September-2019,2
2019-08-01,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,171.16,2019,8,August,August-2019,1
2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,42.79,2019,8,August,August-2019,1
2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Venture Round,1198.12,2019,8,August,August-2019,2
2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,325.88864,2019,8,August,August-2019,1
2019-08-12,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series D,1069.75,2019,8,August,August-2019,1
2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,94.138,2019,8,August,August-2019,1
2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,436.458,2019,8,August,August-2019,1
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,316.646,2019,8,August,August-2019,1
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Angel Funding,4.279,2019,8,August,August-2019,5
2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,941.38,2019,8,August,August-2019,1
2019-08-22,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,128.37,2019,8,August,August-2019,1
2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,56.39722,2019,8,August,August-2019,1
2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Angel Funding,8.558,2019,8,August,August-2019,1
2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,2019,8,August,August-2019,1
2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,599.06,2019,8,August,August-2019,1
2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series B,33376.2,2019,8,August,August-2019,1
2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,162.602,2019,7,July,July-2019,2
2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,21.395,2019,7,July,July-2019,1
2019-07-01,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel Funding,1.24091,2019,7,July,July-2019,1
2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.558,2019,7,July,July-2019,3
2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,325.88864,2019,7,July,July-2019,1
2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Angel Funding,4.279,2019,7,July,July-2019,1
2019-07-10,"""BYJU\\'S""",EdTech,Education,Bangalore,Qatar Investment Authority,Private Equity Round,1283.7,2019,7,July,July-2019,1
2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,513.48,2019,7,July,July-2019,3
2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,136.928,2019,7,July,July-2019,1
2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,49.2085,2019,7,July,July-2019,1
2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,21.395,2019,7,July,July-2019,1
2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.558,2019,7,July,July-2019,1
2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Funding,2.73517959,2019,7,July,July-2019,1
2019-06-05,NoBroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series C,436.458,2019,6,June,June-2019,1
2019-06-04,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,85.58,2019,6,June,June-2019,1
2019-06-03,Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,Series A,77.022,2019,6,June,June-2019,1
2019-06-04,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,641.85,2019,6,June,June-2019,1
2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre-Series A,222.508,2019,6,June,June-2019,2
2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,Pre-Series A,21.395,2019,6,June,June-2019,1
2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,222.508,2019,6,June,June-2019,1
2019-06-06,Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,Series B,129.307101,2019,6,June,June-2019,1
2019-06-10,Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,Angel Funding,3.6816516,2019,6,June,June-2019,1
2019-06-10,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,132.649,2019,6,June,June-2019,1
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,445.016,2019,6,June,June-2019,1
2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,30.671872,2019,6,June,June-2019,1
2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,29.0972,2019,6,June,June-2019,1
2019-05-06,Ola Electric,Transport,Cabs,Bangalore,Tata Sons,Series A,0.0,2019,5,May,May-2019,1
2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,Venture Round,7.4334788,2019,5,May,May-2019,1
2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,2019,5,May,May-2019,4
2019-05-01,BlackBuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1283.7,2019,5,May,May-2019,7
2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,427.9,2019,5,May,May-2019,1
2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series C,436.458,2019,5,May,May-2019,1
2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Angel Funding,1198.12,2019,5,May,May-2019,1
2019-05-30,GlowRoad,E-commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,98.417,2019,5,May,May-2019,2
2019-05-31,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,47.9248,2019,5,May,May-2019,1
2019-04-16,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series A,385.11,2019,4,April,April-2019,1
2019-04-12,Medlife,E-commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Funding,145.486,2019,4,April,April-2019,1
2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Funding,3.6856310700000003,2019,4,April,April-2019,5
2019-04-13,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,30.73498725,2019,4,April,April-2019,5
2019-04-12,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Angel Funding,1.7116,2019,4,April,April-2019,1
2019-04-11,Setu,Fintech,Banking,Bangalore,Lightspeed India Partners,Angel Funding,29.953,2019,4,April,April-2019,1
2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt Funding,54.09357756,2019,4,April,April-2019,1
2019-04-10,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,20.91143021,2019,4,April,April-2019,1
2019-04-10,Unacademy,Edtech,E-learning,Bangalore,Kalyan Krishnamurthy,Angel Funding,2.627306,2019,4,April,April-2019,1
2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,222.508,2019,4,April,April-2019,3
2019-04-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,25.674,2019,4,April,April-2019,1
2019-04-19,KrazyBee,E-commerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt Funding,122.738836,2019,4,April,April-2019,4
2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,42.79,2019,4,April,April-2019,1
2019-04-17,Increff,Technology,Supply-chain technology solutions,Bangalore,"021 Capita, Binny Bansal",Series A,25.674,2019,4,April,April-2019,2
2019-02-01,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre-Series A,0.0,2019,2,February,February-2019,1
2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1934.108,2019,2,February,February-2019,4
2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,5.1348,2019,2,February,February-2019,4
2018-02-14,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,855.8,2018,2,February,February-2018,1
2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,941.38,2019,1,January,January-2019,3
2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,188.276,2019,1,January,January-2019,3
2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt Funding,42.79,2019,1,January,January-2019,2
2018-12-04,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Angel Funding,5.9906,2018,12,December,December-2018,1
2018-12-01,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,427.9,2018,12,December,December-2018,1
2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,6.8464,2018,12,December,December-2018,1
2018-12-02,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,4.895176,2018,12,December,December-2018,1
2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Angel Funding,1.223794,2018,12,December,December-2018,1
2018-12-06,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Angel Funding,17.116,2018,12,December,December-2018,3
2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,29.953,2018,12,December,December-2018,4
2018-11-01,GoDesi,Food and Beverage,Regional Flavours,Bangalore,Lead Angels Network,Angel Funding,1.18951921,2018,11,November,November-2018,1
2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,237.903842,2018,11,November,November-2018,3
2018-11-06,Meesho,Ecommerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,427.9,2018,11,November,November-2018,2
2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Undisclosed,Series A,4.279,2018,11,November,November-2018,1
2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,8.558,2018,11,November,November-2018,2
2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,8.558,2018,11,November,November-2018,1
2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,11.1254,2018,11,November,November-2018,1
2018-11-13,DriveU,Transport,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Mezzanine,8.558,2018,11,November,November-2018,1
2018-11-14,CleanseCar,Services,Car Wash,Bangalore,Venture Catalysts,Angel Funding,4.279,2018,11,November,November-2018,1
2018-11-19,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,2567.4,2018,11,November,November-2018,1
2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B,51.348,2018,11,November,November-2018,5
2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Angel Funding,2.379124,2018,11,November,November-2018,1
2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,265.298,2018,11,November,November-2018,1
2018-11-22,Skillbox,Social Network,Art,Gurugram,Individual investors,Angel Funding,0.0,2018,11,November,November-2018,1
2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,29.0972,2018,11,November,November-2018,4
2018-11-24,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,252.461,2018,11,November,November-2018,2
2018-11-25,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Funding,359.436,2018,11,November,November-2018,2
2018-11-25,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,14.5486,2018,11,November,November-2018,1
2018-10-01,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Angel Funding,0.0,2018,10,October,October-2018,1
2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Angel Funding,94.138,2018,10,October,October-2018,2
2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Funding,70.1756,2018,10,October,October-2018,1
2018-10-05,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,25.674,2018,10,October,October-2018,1
2018-10-11,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,34.232,2018,10,October,October-2018,1
2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Bangalore,Sequoia Capital India,Private Funding,125.63144,2018,10,October,October-2018,1
2018-10-12,LetsTransport,Logistics Tech,Book Trucks Online,Bangalore,Fosun International,Series C,102.696,2018,10,October,October-2018,1
2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Funding,299.53,2018,9,September,September-2018,2
2018-09-03,Udaan,B2B Platform,Logistics and Shipping,Bangalore,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Funding,1925.55,2018,9,September,September-2018,1
2018-09-03,Daily hunt,Consumer Internet,News and ebooks Mobile App ,Bangalore,Falcon Edge,Private Funding,54.68562,2018,9,September,September-2018,1
2018-09-04,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Funding,0.0,2018,9,September,September-2018,2
2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Funding,1345.3176,2018,9,September,September-2018,1
2018-09-05,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI ,Private Funding,0.0,2018,9,September,September-2018,1
2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Funding,855.8,2018,9,September,September-2018,2
2018-09-10,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Funding,34.232,2018,9,September,September-2018,1
2018-09-11,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bangalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Funding,273.856,2018,9,September,September-2018,4
2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,47.069,2018,9,September,September-2018,1
2018-09-11,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Funding,42.79,2018,9,September,September-2018,3
2018-09-12,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Funding,256.74,2018,9,September,September-2018,4
2018-08-01,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Angel Funding,3.4232,2018,8,August,August-2018,5
2018-08-01,HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Angel Funding,0.0,2018,8,August,August-2018,2
2018-08-02,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Funding,59.906,2018,8,August,August-2018,1
2018-08-03,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Funding,1.02696,2018,8,August,August-2018,1
2018-08-07,ShopX,Consumer Internet,Assisted E-commerce Platform,Bangalore,Fung Strategic Holdings,Private Funding,299.53,2018,8,August,August-2018,1
2018-08-07,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Funding,85.58,2018,8,August,August-2018,1
2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bangalore,Vertex Ventures,Angel Funding,34.232,2018,8,August,August-2018,1
2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Funding,104.4076,2018,8,August,August-2018,2
2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Bangalore,Flipkart,Private Funding,564.828,2018,8,August,August-2018,1
2018-08-09,quizizz,Ed-Tech,e-learning Platform,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Angel Funding,25.674,2018,8,August,August-2018,2
2018-08-09,Happy EMI,Fin-Tech,Consumer Financing Platform,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Angel Funding,8.558,2018,8,August,August-2018,1
2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Angel Funding,34.232,2018,8,August,August-2018,2
2018-08-13,Observe AI,Technology,AI Based Solutions Platform,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Funding,68.464,2018,8,August,August-2018,5
2018-08-17,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Funding,50.0643,2018,8,August,August-2018,1
2018-08-20,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,41.0784,2018,8,August,August-2018,1
2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused Platform,Bangalore,CDC Group plc ,Private Funding,51.348,2018,8,August,August-2018,1
2018-08-22,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Funding,122.12266,2018,8,August,August-2018,4
2018-08-26,ZestMoney,Consumer Internet,Online Lending Platform,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Funding,114.6772,2018,8,August,August-2018,3
2018-08-26,Shubh Loans,Fin-Tech, Customer Sourcing Platform ,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Funding,35.9436,2018,8,August,August-2018,4
2018-08-27,MyUpchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Funding,42.79,2018,8,August,August-2018,2
2018-08-28,Narvar,IT,Post-Purchase Customer Engagement Platform ,Bangalore,Accel (formerly known as Accel Partners),Private Funding,25.674,2018,8,August,August-2018,1
